molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50
CHEMBL503254,O=C(O)CCc1ccc(-c2ccc(Cl)cc2)n1CC(=O)O,4000.0,PIM1 kinase,CHEMBL5619,intermediate,4000.0,5.3979400086720375
CHEMBL504500,O=C(O)CCc1ccc(-c2cccs2)n1CC(=O)O,9000.0,PIM1 kinase,CHEMBL5619,intermediate,9000.0,5.045757490560675
CHEMBL455496,O=C(O)CCSc1nnc(SCCC(=O)O)s1,17000.0,PIM1 kinase,CHEMBL5619,inactive,17000.0,4.769551078621726
CHEMBL460982,Cc1ccc2c(c1)c1nnc(SCc3ccc(CC(=O)O)cc3)nc1n2C(=O)O,15000.0,PIM1 kinase,CHEMBL5619,inactive,15000.0,4.823908740944319
CHEMBL517724,O=C(O)Cc1cc(S(=O)(=O)c2ccc(Sc3ccc(C(=O)O)cc3)cc2)ccc1C(=O)O,4000.0,PIM1 kinase,CHEMBL5619,intermediate,4000.0,5.3979400086720375
CHEMBL460563,O=C(O)CCn1c(=S)n(CCC(=O)O)c2ccccc21,15000.0,PIM1 kinase,CHEMBL5619,inactive,15000.0,4.823908740944319
CHEMBL509657,O=C(O)Cn1c(=O)n(CC(=O)O)c2ccccc21,16000.0,PIM1 kinase,CHEMBL5619,inactive,16000.0,4.795880017344075
CHEMBL448958,Cc1oc(C(=O)O)cc1CSCC(C)C(=O)O,22000.0,PIM1 kinase,CHEMBL5619,inactive,22000.0,4.657577319177793
CHEMBL512761,Cc1cc(C(=O)O)c(CSCc2cc(C(=O)O)oc2C)o1,20000.0,PIM1 kinase,CHEMBL5619,inactive,20000.0,4.698970004336019
CHEMBL462690,O=C(O)CCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356
CHEMBL462261,O=C(O)CCCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,12000.0,PIM1 kinase,CHEMBL5619,inactive,12000.0,4.920818753952375
CHEMBL460782,CC(Oc1cc(OC(C)C(=O)O)c2c(c1)oc(=O)c1ccccc12)C(=O)O,8000.0,PIM1 kinase,CHEMBL5619,intermediate,8000.0,5.096910013008056
CHEMBL460783,O=C(O)CC1OC(=O)c2cc3c(cc21)C(=O)OC3CC(=O)O,11000.0,PIM1 kinase,CHEMBL5619,inactive,11000.0,4.958607314841775
CHEMBL448036,Cc1nc2ccc(C(=O)O)cc2c(O)c1CCC(=O)O,20000.0,PIM1 kinase,CHEMBL5619,inactive,20000.0,4.698970004336019
