action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,target_name
,,2247145,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCc1ccc(-c2ccc(Cl)cc2)n1CC(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '17.54', 'le': '0.35', 'lle': '2.49', 'sei': '6.79'}",CHEMBL503254,,CHEMBL503254,5.40,0,http://www.openphacts.org/units/Nanomolar,748200,=,1,1,=,,IC50,nM,,4000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,4.0,PIM1 kinase
,,2247146,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCc1ccc(-c2cccs2)n1CC(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '18.06', 'le': '0.36', 'lle': '2.73', 'sei': '6.34'}",CHEMBL504500,,CHEMBL504500,5.05,0,http://www.openphacts.org/units/Nanomolar,748201,=,1,1,=,,IC50,nM,,9000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,9.0,PIM1 kinase
,,2247147,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCSc1nnc(SCCC(=O)O)s1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '16.20', 'le': '0.38', 'lle': '3.10', 'sei': '4.75'}",CHEMBL455496,,CHEMBL455496,4.77,0,http://www.openphacts.org/units/Nanomolar,748202,=,1,1,=,,IC50,nM,,17000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,17.0,PIM1 kinase
,,2247148,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc2c(c1)c1nnc(SCc3ccc(CC(=O)O)cc3)nc1n2C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '11.81', 'le': '0.23', 'lle': '1.09', 'sei': '4.08'}",CHEMBL460982,,CHEMBL460982,4.82,0,http://www.openphacts.org/units/Nanomolar,748203,=,1,1,=,,IC50,nM,,15000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,15.0,PIM1 kinase
,,2247149,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)Cc1cc(S(=O)(=O)c2ccc(Sc3ccc(C(=O)O)cc3)cc2)ccc1C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '11.42', 'le': '0.23', 'lle': '1.71', 'sei': '3.70'}",CHEMBL517724,,CHEMBL517724,5.40,0,http://www.openphacts.org/units/Nanomolar,748278,=,1,1,=,,IC50,nM,,4000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,4.0,PIM1 kinase
,,2247150,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCn1c(=S)n(CCC(=O)O)c2ccccc21,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '16.39', 'le': '0.33', 'lle': '2.70', 'sei': '5.71'}",CHEMBL460563,,CHEMBL460563,4.82,0,http://www.openphacts.org/units/Nanomolar,748279,=,1,1,=,,IC50,nM,,15000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,15.0,PIM1 kinase
,,2247151,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)Cn1c(=O)n(CC(=O)O)c2ccccc21,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '19.17', 'le': '0.36', 'lle': '4.83', 'sei': '4.72'}",CHEMBL509657,,CHEMBL509657,4.80,0,http://www.openphacts.org/units/Nanomolar,748280,=,1,1,=,,IC50,nM,,16000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,16.0,PIM1 kinase
,,2247152,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1oc(C(=O)O)cc1CSCC(C)C(=O)O,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '18.03', 'le': '0.37', 'lle': '2.42', 'sei': '5.31'}",CHEMBL448958,,CHEMBL448958,4.66,0,http://www.openphacts.org/units/Nanomolar,748281,=,1,1,=,,IC50,nM,,22000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,22.0,PIM1 kinase
,,2247153,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)O)c(CSCc2cc(C(=O)O)oc2C)o1,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '15.14', 'le': '0.31', 'lle': '1.38', 'sei': '4.66'}",CHEMBL512761,,CHEMBL512761,4.70,0,http://www.openphacts.org/units/Nanomolar,748282,=,1,1,=,,IC50,nM,,20000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,20.0,PIM1 kinase
,,2247154,[],CHEMBL1021377,Inhibition of purified human recombinant APE1 expressed in Escherichia coli M15 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(O)CCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,,,CHEMBL1139343,J Med Chem,2009,"{'bei': '13.31', 'le': '0.27', 'lle': '4.06', 'sei': '4.53'}",CHEMBL462690,,CHEMBL462690,5.22,0,http://www.openphacts.org/units/Nanomolar,748283,=,1,1,=,,IC50,nM,,6000.0,CHEMBL5619,Homo sapiens,DNA-(apurinic or apyrimidinic site) lyase,9606,,,IC50,uM,UO_0000065,,6.0,PIM1 kinase
