molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL503254,O=C(O)CCc1ccc(-c2ccc(Cl)cc2)n1CC(=O)O,4000.0,PIM1 kinase,CHEMBL5619,intermediate,4000.0,5.3979400086720375,307.7330000000001,2.9103000000000003,2,3
CHEMBL504500,O=C(O)CCc1ccc(-c2cccs2)n1CC(=O)O,9000.0,PIM1 kinase,CHEMBL5619,intermediate,9000.0,5.045757490560675,279.317,2.3183999999999996,2,4
CHEMBL455496,O=C(O)CCSc1nnc(SCCC(=O)O)s1,17000.0,PIM1 kinase,CHEMBL5619,inactive,17000.0,4.769551078621726,294.37899999999996,1.6717,2,7
CHEMBL460982,Cc1ccc2c(c1)c1nnc(SCc3ccc(CC(=O)O)cc3)nc1n2C(=O)O,15000.0,PIM1 kinase,CHEMBL5619,inactive,15000.0,4.823908740944319,408.43900000000014,3.7334200000000015,2,7
CHEMBL517724,O=C(O)Cc1cc(S(=O)(=O)c2ccc(Sc3ccc(C(=O)O)cc3)cc2)ccc1C(=O)O,4000.0,PIM1 kinase,CHEMBL5619,intermediate,4000.0,5.3979400086720375,472.49600000000015,3.6941000000000024,3,6
CHEMBL460563,O=C(O)CCn1c(=S)n(CCC(=O)O)c2ccccc21,15000.0,PIM1 kinase,CHEMBL5619,inactive,15000.0,4.823908740944319,294.332,2.1216899999999996,2,5
CHEMBL509657,O=C(O)Cn1c(=O)n(CC(=O)O)c2ccccc21,16000.0,PIM1 kinase,CHEMBL5619,inactive,16000.0,4.795880017344075,250.21,-0.02779999999999916,2,5
CHEMBL448958,Cc1oc(C(=O)O)cc1CSCC(C)C(=O)O,22000.0,PIM1 kinase,CHEMBL5619,inactive,22000.0,4.657577319177793,258.29499999999996,2.24012,2,4
CHEMBL512761,Cc1cc(C(=O)O)c(CSCc2cc(C(=O)O)oc2C)o1,20000.0,PIM1 kinase,CHEMBL5619,inactive,20000.0,4.698970004336019,310.32700000000006,3.3192400000000015,2,5
CHEMBL462690,O=C(O)CCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356,392.41400000000004,1.1639,2,6
CHEMBL462261,O=C(O)CCCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,12000.0,PIM1 kinase,CHEMBL5619,inactive,12000.0,4.920818753952375,406.4410000000001,1.554,2,6
CHEMBL460782,CC(Oc1cc(OC(C)C(=O)O)c2c(c1)oc(=O)c1ccccc12)C(=O)O,8000.0,PIM1 kinase,CHEMBL5619,intermediate,8000.0,5.096910013008056,372.32900000000006,2.6500000000000004,2,6
CHEMBL460783,O=C(O)CC1OC(=O)c2cc3c(cc21)C(=O)OC3CC(=O)O,11000.0,PIM1 kinase,CHEMBL5619,inactive,11000.0,4.958607314841775,306.22600000000006,1.0590000000000002,2,6
CHEMBL448036,Cc1nc2ccc(C(=O)O)cc2c(O)c1CCC(=O)O,20000.0,PIM1 kinase,CHEMBL5619,inactive,20000.0,4.698970004336019,275.25999999999993,1.9642199999999999,3,4
CHEMBL460784,O=C(O)CSc1cc(-c2ccccc2)nc(SCC(=O)O)n1,19000.0,PIM1 kinase,CHEMBL5619,inactive,19000.0,4.721246399047171,336.3940000000001,2.497,2,6
CHEMBL510354,Cc1oc(C)c(C(=O)NCC(=O)O)c1C(=O)NCC(=O)O,26000.0,PIM1 kinase,CHEMBL5619,inactive,26000.0,4.585026652029182,298.251,-0.47475999999999924,4,5
CHEMBL467436,Cc1oc(C)c(C(=O)O)c1COc1ccccc1C(=O)O,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356,290.271,2.8718400000000006,2,4
CHEMBL512260,O=C(O)CN1C(=O)/C(=C\c2ccc(-c3cccc(C(=O)O)c3)o2)SC1=S,6000.0,PIM1 kinase,CHEMBL5619,intermediate,6000.0,5.221848749616356,389.4100000000001,2.930600000000001,2,6
CHEMBL449985,O=C(c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)O)C2=O)c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)O)C2=O,8000.0,PIM1 kinase,CHEMBL5619,intermediate,8000.0,5.096910013008056,560.4740000000003,3.9152000000000013,2,7
CHEMBL467435,O=C(O)Cn1c(CCCCc2nc3ccccc3n2CC(=O)O)nc2ccccc21,4000.0,PIM1 kinase,CHEMBL5619,intermediate,4000.0,5.3979400086720375,406.4420000000002,3.1206000000000014,2,6
CHEMBL510282,Nc1ncnc2[nH]c(SCCC(=O)O)nc12,20000.0,PIM1 kinase,CHEMBL5619,inactive,20000.0,4.698970004336019,239.25999999999996,0.5018999999999998,3,6
