Model,R-Squared,RMSE,MAE,Time Taken
KNeighborsRegressor,1.0,0.0,0.0,0.535304069519043
GradientBoostingRegressor,0.9999999329526649,8.644690967849802e-05,7.084433870392338e-05,14.07571792602539
AdaBoostRegressor,0.9776328927502534,0.04993023637973293,0.04480425596288125,3.550036907196045
LinearRegression,0.9585858150027913,0.06794120912521391,0.04364565166062912,0.027270078659057617
VotingEnsemble,0.9427252303280967,0.07989882409945358,0.0669386843123829,
StackingEnsemble,0.9091149961485828,0.10064792529285062,0.07835188881220911,
SVR,0.8771709439991409,0.1170063061567339,0.10216353692888758,0.334949254989624
RandomForestRegressor,0.8692513227730323,0.12071948219051701,0.10457357472627452,45.75108504295349
Ridge,0.8605966866090896,0.12465085455232264,0.09734375749173717,5.100574016571045
ElasticNet,0.7531931987025271,0.16585832446327442,0.1382090453645827,0.8582262992858887
Lasso,0.09917712710898641,0.3168680231637793,0.27830323159269743,0.22603297233581543
