molecule_chembl_id,canonical_smiles,standard_value,target_id,target_name,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL455496,O=C(O)CCSc1nnc(SCCC(=O)O)s1,17000.0,CHEMBL5619,PIM1 kinase,inactive,17000.0,4.769551078621726,294.37899999999996,1.6717,2.0,7.0
CHEMBL460982,Cc1ccc2c(c1)c1nnc(SCc3ccc(CC(=O)O)cc3)nc1n2C(=O)O,15000.0,CHEMBL5619,PIM1 kinase,inactive,15000.0,4.823908740944319,408.43900000000014,3.7334200000000015,2.0,7.0
CHEMBL460563,O=C(O)CCn1c(=S)n(CCC(=O)O)c2ccccc21,15000.0,CHEMBL5619,PIM1 kinase,inactive,15000.0,4.823908740944319,294.332,2.1216899999999996,2.0,5.0
CHEMBL509657,O=C(O)Cn1c(=O)n(CC(=O)O)c2ccccc21,16000.0,CHEMBL5619,PIM1 kinase,inactive,16000.0,4.795880017344075,250.21,-0.02779999999999916,2.0,5.0
CHEMBL448958,Cc1oc(C(=O)O)cc1CSCC(C)C(=O)O,22000.0,CHEMBL5619,PIM1 kinase,inactive,22000.0,4.657577319177793,258.29499999999996,2.24012,2.0,4.0
CHEMBL512761,Cc1cc(C(=O)O)c(CSCc2cc(C(=O)O)oc2C)o1,20000.0,CHEMBL5619,PIM1 kinase,inactive,20000.0,4.698970004336019,310.32700000000006,3.3192400000000015,2.0,5.0
CHEMBL462261,O=C(O)CCCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,12000.0,CHEMBL5619,PIM1 kinase,inactive,12000.0,4.920818753952375,406.4410000000001,1.554,2.0,6.0
CHEMBL460783,O=C(O)CC1OC(=O)c2cc3c(cc21)C(=O)OC3CC(=O)O,11000.0,CHEMBL5619,PIM1 kinase,inactive,11000.0,4.958607314841775,306.22600000000006,1.0590000000000002,2.0,6.0
CHEMBL448036,Cc1nc2ccc(C(=O)O)cc2c(O)c1CCC(=O)O,20000.0,CHEMBL5619,PIM1 kinase,inactive,20000.0,4.698970004336019,275.25999999999993,1.9642199999999999,3.0,4.0
CHEMBL460784,O=C(O)CSc1cc(-c2ccccc2)nc(SCC(=O)O)n1,19000.0,CHEMBL5619,PIM1 kinase,inactive,19000.0,4.721246399047171,336.3940000000001,2.497,2.0,6.0
CHEMBL510354,Cc1oc(C)c(C(=O)NCC(=O)O)c1C(=O)NCC(=O)O,26000.0,CHEMBL5619,PIM1 kinase,inactive,26000.0,4.585026652029182,298.251,-0.47475999999999924,4.0,5.0
CHEMBL510282,Nc1ncnc2[nH]c(SCCC(=O)O)nc12,20000.0,CHEMBL5619,PIM1 kinase,inactive,20000.0,4.698970004336019,239.25999999999996,0.5018999999999998,3.0,6.0
CHEMBL512261,Cc1ccc(-c2ccc(CCC(=O)O)n2CC(=O)O)cc1,12000.0,CHEMBL5619,PIM1 kinase,inactive,12000.0,4.920818753952375,287.31499999999994,2.56532,2.0,3.0
CHEMBL460347,O=C(O)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1,10000.0,CHEMBL5619,PIM1 kinase,inactive,10000.0,5.0,442.4010000000002,3.4063000000000008,3.0,6.0
CHEMBL517107,O=C(O)CN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,13000.0,CHEMBL5619,PIM1 kinase,inactive,13000.0,4.886056647693163,378.38700000000006,0.7738,2.0,6.0
CHEMBL517857,O=C(O)CN1C(=O)/C(=C2\SC(=S)N(NC(=O)c3ccccc3O)C2=O)c2ccccc21,11000.0,CHEMBL5619,PIM1 kinase,inactive,11000.0,4.958607314841775,455.4730000000002,1.7397999999999996,3.0,7.0
CHEMBL447111,Cc1ccc(OCc2ccoc2C(=O)O)cc1C,11000.0,CHEMBL5619,PIM1 kinase,inactive,11000.0,4.958607314841775,246.262,3.1736400000000016,1.0,3.0
